Sales Invoice Type,Rechnungstyp
Please set the credit controller role on {0},Bitte legen Sie die Kreditcontrollerrolle auf {0} fest.
Request for document release {0}.,Antrag auf Dokumentfreigabe {0}.
Please release the following document {0}.,Bitte geben Sie folgendes Dokument frei: {0}.
Year must be a 4-digit number.,Das Jahr muss eine 4-stellige Zahl sein.
{0} is unsupported file format. Only ascii format is supported currently.,{0} ist ein nicht unterstütztes Dateiformat. Derzeit wird nur das ASCII-Format unterstützt.
Your company is not located in Germany.,Ihr Unternehmenssitz befindet sich nicht in Deutschland.
"With the DATEV OPOS import we upload a file with which we change the payment status of the outgoing invoices. The entries in the file represent the invoices that have not yet been paid. All outgoing invoice IDs that are not contained in the file are set to paid. Exceptions apply to the status Paid, Cancelled, Draft and Credit Note Issues.","Mit dem DATEV OPOS Import laden wir eine Datei hoch, mit der wir den Zahlungsstatus der Ausgangsrechnungen ändern. Die Einträge in der Datei stellen die noch nicht bezahlten Rechnungen dar. Alle Ausgangsrechnungs-IDs, die nicht in der Datei enthalten sind, werden auf bezahlt gesetzt. Ausnahmen gelten für den Status Bezahlt, Storniert, Entwurf und Gutschriftsausgabe."
Country in Default {} must be Germany,Land in Standard {} muss Deutschland sein
In case the amount of Goods and Service Items are equal this case will be chosen.,"Dieser Fall wird gewählt, wenn die Menge der Waren und der Dienstleistungspositionen gleich ist."
This will control the type of messages that will be shown in transaction when validating German Accounting Tax Default Table values set in Item Group,"Hiermit wird die Art der Nachrichten gesteuert, die in der Transaktion angezeigt werden, wenn die in der Artikelgruppe festgelegten Werte der deutschen Buchhaltungssteuer-Standardtabelle validiert werden."
Credit Limit Controller Role,Rolle des Kreditlimit-Controllers
Credit Limit Controller,Kreditlimit-Controller
Please select at least one user to send an email,"Bitte wählen Sie mindestens einen Benutzer aus, dem Sie eine E-Mail senden möchten"
Please set the default company,Bitte legen Sie das Standardunternehmen fest
Sales invoices for this configuration have already been exported!,Verkaufsrechnungen für diese Konfiguration wurden bereits exportiert!
"This case is not reflected in the table (German Accounting Tax Defaults) in {0}. Please check the fields tax_category, customer_type, is_vat_applicable and add your combination to the table.","Dieser Fall wird in der Tabelle (German Accounting Tax Defaults) in {0} nicht berücksichtigt. Bitte überprüfen Sie die Felder tax_category, customer_type, is_vat_applicable und fügen Sie Ihre Kombination der Tabelle hinzu."
"A DATEV Export Log {0} has been created for {1} month containing a *.csv and *.pdf that can be downloaded","Es wurde ein DATEV Exportprotokoll {0} für {1} Monat erstellt, das eine *.csv und *.pdf Datei enthält und heruntergeladen werden kann"
Transaction Validation Message,Transaktionsvalidierungsnachricht
Addressline 1,Adresszeile 1
Addressline 2,Adresszeile 2
Country Code,Landesvorwahl
Custom Item Tax,Steuer auf Sonderartikel
Customer Name,Kundenname
Customer Type,Kundentyp
DATEV Action Panel for {0},DATEV Maßnahmenpanel für {0}
"Error cancelling payment entry for: {0}","Fehler beim Stornieren des Zahlungseintrags für: {0}"
"Error creating payment for: {0}","Fehler beim Erstellen der Zahlung für: {0}"
German Accounting Settings,Deutsche Buchhaltungseinstellungen
German Accounting Tax Defaults,Deutsche Bilanzsteuervorgaben
Goods Item Group,Warenpositionsgruppe
Please set Goods Item Group in German Accounting Settings,Bitte legen Sie die Warenartikelgruppe in den deutschen Buchhaltungseinstellungen fest
Please set Service Item Group in German Accounting Settings,Bitte legen Sie die Serviceartikelgruppe in den deutschen Buchhaltungseinstellungen fest
Please set Goods or Service Selection in German Accounting Settings,Bitte legen Sie die Waren- oder Dienstleistungsauswahl in den deutschen Buchhaltungseinstellungen fest
Goods or Service Selection,"Waren- oder Dienstleistungsauswahl"
Tax ID,Umsatzsteuer-Identifikationsnummer
Net Total,"Gesamtbetrag (netto)"
"File not found: {0}","Datei nicht gefunden: {0}"
Grand Total,Gesamtsumme
Posting Date,Buchungsdatum
Income Account,Einkommenskonto
Item Tax Rate,Artikelsteuersatz
Voucher Type,Gutscheintyp
Total DATEV,DATEV gesamt
Voucher No,Gutschein-Nr
Shortdate,Kurzes Date
Debitor No DATEV,Debitoren-Nr. DATEV
Journal Text,Zeitschriftentext
Tax Percentage,Steuersatz
Exportdate,Exportdatum
Starting import,Import wird gestartet
Importing,Importieren
Include Header in CSV,Header in CSV einschließen
Service Item Group,Serviceartikelgruppe
Error Only,Nur Fehler
Error or Info,Fehler oder Info
DATEV Export Log,DATEV Exportprotokoll
Exported On,Exportiert am
Sales Invoice CSV,Verkaufsrechnung CSV
Sales Invoice PDF,Verkaufsrechnung PDF
Debtors CSV,Schuldner CSV
DATEV Export Report,DATEV Exportbericht
DATEV Sales Invoice,DATEV Verkaufsrechnung
Sales Invoice Exported,Verkaufsrechnung exportiert
Not Started,Nicht gestartet
Printed On,Gedruckt auf
"Processing row {}/{}","Zeile {}/{} wird verarbeitet"
Error during import: {0},Fehler beim Import: {0}
Response not found,Antwort nicht gefunden
Is VAT Applicable,Ist Mehrwertsteuer anwendbar
Item Tax Template,Artikelsteuervorlage
Sales Taxes and Charges Template,"Vorlage für Umsatzsteuern und -gebühren"
Gross Total,Bruttogesamt
Company filter must be user default company {0},Der Firmenfilter muss die Standardfirma des Benutzers {0} sein
DATEV Action Panel,DATEV-Aktionspanel
DATEV Export Mapping Sales Invoice Field
Default Company country {0} must be Germany,Das Standard-Firmenland {0} muss Deutschland sein
Default Company not set,Standardfirma nicht festgelegt
Please set default company for current user,Bitte legen Sie das Standardunternehmen für den aktuellen Benutzer fest
